time,text,toxic,toxicity_type
0:00,Snowdown map skin and accents are enabled,0,none
0:00,They can be toggled on or off in Options,0,none
0:38,Shaco eats Ashe Clown (Shaco): ty,0,none
0:39,Shaco eats Ashe Clown (Shaco): ward,0,none
0:40,Shaco eats Ashe Clown (Shaco): pls,0,none
0:45,arschbert (Orianna) is on the way,0,none
0:49,[All] Rutho (Kled): your invade is racism,0,none
0:49,[AlI] Rutho (Kled): your invade is racism,0,none
0:52,Shaco eats Ashe Clwn (Shaco):,0,none
0:52,Shaco eats Ashe Clown (Shaco):,0,none
0:57,Shaco eats Ashe Clown (Shaco): fuck she star,1,text
1:02,[All] Starlight Poppy (Illaoi): malphite from las,0,none
1:20,[All] KrowNNN (Draven): didnt he say some,0,none
1:21,[All] Rutho (Kled): WAS RASISTIC,0,none
1:21,[All] Rutho (Kled): 1 WAS RASISTIC,1,allcaps
1:22,Starlight Poppy (Illaoi): racist about?,0,none
1:25,Shaco eats Ashe (Shaco) signals that enemies,0,none
1:28,Shaco eats Ashe Clown (Shaco): xd,0,none
1:33,[All] Rutho (Kled): i just report u 2 guys,0,none
1:33,"Starlight Poppy (Illaoi): loses his passive, does",0,none
1:36,Skinte BnCo (Thresh): arabs,1,text
1:38,Shaco eats Ashe Clown (Shaco): ty,0,none
1:38,"Shaco eats Ashe Clown (Shaco): ty ,",0,none
1:42,Skinte BnCo (Thresh): syrian,1,text
3:12,Starlight Poppy (Illaoi) has targeted Rutho,0,none
3:13,Shaco eats Ashe (Shaco) is on the way,0,none
3:14,Rutho (Kled) has drawn first bloodl,0,none
3:20,Starlight Poppy (Illaoi): Kled Flash,0,none
3:29,Starlight Poppy (Illaoi) purchased Control Wa,0,none
3:39,Starlight Poppy (Illaoi) is on the way,0,none
3:47,Shaco eats Ashe (Shaco) has targeted the Ane,0,none
3:56,Shaco eats Ashe (Shaco) has targeted the Inn,0,none
3:56,arschbert (Orianra): R 31s,0,none
4:01,Shaco eats Ashe (Shaco) is on the way,0,none
4:23,Shaco eats Ashe (Shaco) is on the way,0,none
4:24,Shaco eats Ashe (Shaco) is on the way,0,none
4:29,Shaco eats Ashe (Shaco) is on the way,0,none
4:30,Shaco eats Ashe (Shaco) is on the way,0,none
4:35,KrowNNN (Draven Xayah-Flashi,0,none
4:36,KrowNNN (Draven): Karma Flash,0,none
4:36,KrowNNN (Draven): Karnia Agrite,0,none
4:36,Shaco eats Ashe (Shaco) is on the way,0,none
4:37,KrowNNN (Draven): Xayah Heal,0,none
4:37,KrowNNN Drayen): Elise Flash,0,none
4:37,KrowNNN (Drayen): Elise Flash,0,none
4:41,KrowNNN (Draven): Karma Flash,0,none
4:42,KrowNNN (Draven): Xayah Flash,0,none
4:42,KrowNNN (Draven): Karma Ignite,0,none
4:43,KrowNNN (Draven): Xayah Heal,0,none
4:44,KrowNNN (Draver): Elise Flash,0,none
4:44,Stiaco eats Ashe (Shaco): 9s,0,none
4:44,KrowNNN (Draven): Elise Flash,0,none
4:44,Shaco eats Ashe (Shaco): Q 9s,0,none
4:44,Shaco eats Ashe (Shaco): Q - 9s,0,none
4:59,Skinte (Thresh) purchased Control Ward,0,none
5:07,Starlight Poppy (Illaoi): that's so stupid,1,text
5:18,KrowNNN (Draven): illaoi is op as fuck,1,text
5:32,Starlight Poppy (Illaoi): kled too,0,none
