text,first_frame,avg_confidence
Type {help for a list of commands,30,0.5916716020960909
[O0.16] Infernal Shaco (Diana) on che way,30,0.7920264244142827
[00.2I] Infernal Shaco (Diana) asking for assistance,30,0.6934070546083199
[00. 30] OMGBulbash Pisun (Fiora): fiora vs teemo,30,0.5231657098774
[00;35] OMGBulbash Pisun (Fiora): havent done this matchup yet,30,0.7619996097946701
[00.37] StormX7 (Vayne) is on the way,30,0.46751350111580164
[00.58] Infernal Shaco (Diana) asking for assistance,30,0.8401942249105835
53 30,30,0.9999533440088673
35 33,30,0.9999914020555654
"0.75 5""",30,0.44239690455627895
345,30,0.6345914006233215
[C0:16] Infernal Shaco (Diana) on che way,60,0.7862605106393615
[C0.2I] Infernal Shaco (Diana) asking for assistance,60,0.7672064539520418
[00.30] OMGBulbash Pisun (Fiora): fiora vs teemo,60,0.8444345085241058
[00.35] OMGBulbash Pisun (Fiora): havenr done this matchup yet,60,0.662762698737467
[00.37 ScormX7 (Vayne) on the way,60,0.7608503219696002
[0 /.46] Infernal Shaco $HZCO (Diana): thx,60,0.5514476046166102
[0[.58] princeoftromso (Morgana): npp,60,0.8052259578557847
55 30,60,0.9999055933037856
38 0134,60,0.9437235688813401
0.76 5*,60,0.7308656934508198
38 34,90,0.9999937622724557
[00.35] OMGBulbash Pisun (Fiora); havent done this matchup yet,150,0.6206085111167677
[00.37] ScormX7 (Vayne) Ho the way,150,0.49449890699865784
[01.46] Infernal Shaco 'SHACO (Diana}: chx,150,0.49263483070913594
[0| 58] princeoftromso (Morgana): npp,150,0.4949998788245305
[02;36] Ghosttowas (Teerro) has drawn first Bloodl,150,0.3525694560654083
[02. 38] OMGBulbash Pisun (Fiora}: fck,150,0.660211891802631
,150,0.0
57 30,150,0.9999592865876347
40 35,150,0.9999927507508177
0.77 5*,150,0.7567482612038108
Mnei,180,0.00017650915833655745
0.77 2l15*,210,0.5427506870755192
60 30,240,0.9996388745244854
43 36,240,0.9999871031094019
0.78 [l15%,240,0.5694611155303833
75 m,240,0.0038421880453824997
[0[ 58] princeoftromso (Morgana): npP,270,0.4968861433106686
[02.36] Ghosttowas ( Teemo} has drawn first bloodl,270,0.6469582332037587
[02.38] OMGBulbash Pisun (Fiora): fck,270,0.6881375546732242
[03.19] OMGBulbash Pisun (Fiora): teemo,270,0.7525115560465496
[03.38] PgA lenoxBlack (Lissandra) signals that eneries are missing,270,0.7829898031350765
[03.40] PzA lenoxBlack (Lissandra): mid,270,0.8865210065193951
[03.41] PgA lenoxBlack (Lissandra) signals that enemies are missing,270,0.6729679918627304
[03.45] StormX7 (Vayne): ty,270,0.7387057425508766
En,270,0.0017201120146288947
0.78 15*,270,0.7635296751599592
[02.36] Ghostrowas ( Teemo) has drawnfirsc Bloodl,300,0.35595406709032157
[02.38] OMGBulbash Pisun (Fiora); fck,300,0.9601536695613048
[03.19] OMGBulbash Pisun (Fiora}: teeriio,300,0.3636026603448001
[03.38] PzA lenoxBlack (Lissandra) siguals that enemies are missing,300,0.44766862401156193
[03.40] PgA lenoxBlack (Lissandra): mid,300,0.868305703889661
[03.41] PzA lenoxBlack (Lissandra) signals that enemies T missing,300,0.6567225213383338
[03.5 I] Infernal Shaco (Diana) L che way,300,0.6276621191267497
Lti,300,0.0010087195293769142
0.78 15*6,300,0.5739962425998306
[03.38] PgA lenoxBlack (Lissandra} signals that enemies are missing,330,0.7255559234224414
[03.40] PgA lenoxBlack (Lissandra); wi mid,330,0.692970430579601
[03*41] PgA lenoxBlack (Lissandra) signals that enemies are missing,330,0.7062511992344931
[03.45] StormX7 (Yayne): ty,330,0.6015489021620427
[03.51] Infernal Shaco (Diara) is on the way,330,0.7726649368517989
"[04,06] OMGBulbash Pisun (Fiora): gi",330,0.46840761175525425
"[04,09] Infernal Shaco #HECO (Diana); u2",330,0.6240084959720985
[04:15] princeoftromso (Morgana) has targeced FSerralheing . (Oriatiha),330,0.3783746185674319
ok,330,0.9995563068144044
442,330,0.9146075248718262
7,360,0.007068760371566951
[04:18] Infertal Sriacry (Diana) has -argeted JICEMAN,360,0.37918642048557205
[0-.19] Infernal Sliaco (Diana) has cargeted JICEMAN - (ij,360,0.4898908684000996
[04:|9] Infferral Shaco (Diara) has targeted IICEMAN (,360,0.47125616963600053
[04.22] Infernal Shaco (Diana) has targeted IICEMAN - (Vi),360,0.5970609262814323
You must wait before issuing more pings.,360,0.8351319532945549
[0426] PgA IcnoxBlack (Lissandra) signals that enemies are missing,360,0.6603656199879779
[04.29] Infernal Sharo (Diara) is on the way,360,0.6291307647417685
[04.30] PgA lenoxBlack (Lissandra}: Orrialina Flash,360,0.44097792755041926
7 0.78 15*,360,0.6382025248610083
[04.22] Infertial Shaco (Diaria) has targeted HICERAN - ( ij,390,0.39581133072032226
You must wrait before issuing more pings:,390,0.5564332588124015
[04.26] PzA lenoxBlack (Lissandra) signals that enemies are missig,390,0.7793671531050498
[04.29] Infernal Shaco (Diana) is on the way,390,0.6420777394868001
[04.30] PgA lenoxBlack (Lissanidra): Orianna Flash,390,0.8203606616135332
[04.3 Infernal Shaco (Diana} is on the way,390,0.8126523801311375
[04.43] princeoftromso (Morgana) on thc way,390,0.797776025940678
[04.45] [All] PgA lenoxBlack (Lissandral: More gank plz :,390,0.44847027110314125
LB,390,0.12469764283680419
62 30,390,0.9999165929624552
46 37,390,0.9998815711388274
0.79 15*,390,0.8303815043648445
[04.29] Infernal Shaco (Diana) on che way,420,0.6492140271281949
[04.30] PgA lenoxBlack (Lissanidra): Oriarima Flash,420,0.42730859498282425
[04.3I] Infernal Shaco (Diana) is on che way,420,0.7545632088760325
[04.43] princeoftromso (Morgana} is on the way,420,0.7599091308091815
[04.45] [All] PgA lenoxBiack (Lissandra): More gank plz,420,0.6069458785854255
[04.47] Infernal Shaco (Diana) is on the way,420,0.6958022726172509
[05.01] HIICEMAN (Vi) is on a killing spreel,420,0.49183721378152295
[05.01] PzA lenoxBlack (Lissandra) signals that enemies are missing,420,0.6832628880881659
IB,420,0.04745375012885161
[04.47] Infernal Shaco (Diana) on the way,450,0.9113929408423134
[05.0/j ! IICEMAN (Vi) is on a killing spreel,450,0.35307174855581347
"[05,01] PgA lenoxBlack (Lissandra) signals that cnemics art missing",450,0.6486683612914123
[05.01] PgA lenoxBlack (Lissandra) signals that enemies are missing,450,0.8680459952321851
[05.03] Infernal Shaco (Diana) signals that enemies are missing,450,0.9042922300685458
"[05,041 Infernal Shaco (Diana) signals that enemies are missing",450,0.7296068270730476
"[05,08] PgA lenoxBlack (Lissandra); Flash",450,0.8484486008960452
[05.09] Infernal Shaco #HECO (Diana): the hell xD,450,0.606830879802683
480,450,0.988669083269134
0.79 5*6,450,0.7418167733243218
[95.013 PeA lenoxBlack (Lissandra} signals that enemies are missing PgA lenoxBlack (Lissandra) signals that eneries are missing,480,0.43071946866275845
[05.04] Infernal Shaco (Diana) signals that enemies are missing,480,0.8901267578912095
[05.08] PgA lenoxBlack (Lissandra): Vi Flash,480,0.8607242333200862
[05.09] Infernal Shaco $HZCO (Diana): the hell xD,480,0.6455325682492462
[05.19] princeoftromso (Morgana): xD,480,0.5561645956399882
[05.21] princeoftromso (Morgana): sry,480,0.7707824044363819
0.79 5*,480,0.5016936796950854
IB0,510,0.02172708264672009
"[05,04] Infcrnal Shaco (Diana) signals that enemies are missing",540,0.8333353597726081
"[05,08] PgA lenoxBlack (Lissandra Vi Flash",540,0.8185685259258269
[05.09] Infernal Shaco $HECO Diana : the hell xD,540,0.6594556527716957
[05.19] princeoftromso (Morgana) xD,540,0.4842059926742785
[05.49] StormX7 (Vayne) asking for assistance,540,0.7706530195344293
[05.58] StormX7 (Vayne): are Ivl Xd,540,0.49796029799756064
ye,540,0.9240193670230807
46 0137,540,0.9696821331439953
[05.19] priniceofti Jmso (orgaria) xD,570,0.21727361083434757
"[05,21] princeoftramso (Morgana); sry",570,0.4852932517034868
"[05,49] StormX7 (Vayne} asking for assistance",570,0.6781859661403135
[05.58] StormX7 (Vayne): u are Ivl xd,570,0.45921918304739
[06.03] Infernal Shaco $HRCO (Diana): yes why?,570,0.7767529620947071
"[06,04] StormX7 (Vayne); i just g0 farm",570,0.6949089018150597
[06.05] Irifcrnal Shaco (Diara): 85% towards Level,570,0.4579169843106798
[06.08] StormX7 (Vayne): 70% towards Level 5,570,0.629149094904526
980,570,0.5849509402198712
62 60,570,0.9995275557429321
362,570,0.8070706129074097
"0.79 5""",600,0.602482460913135
[06.04] StormX7 (Vayne}: just go farm,630,0.618091894860156
"[06,05] Infernal Shaco (Diana); 85% towards Levcl",630,0.5540874630523065
[06.08] Sroriux7 (Vayne): 70% towards Level,630,0.4161251712427563
[0 pjuireiilshaco $HJCO (Diana}: why is it bad?,630,0.04837374157206482
[0b3 Aferna SShaco (Diana) is on the way,630,0.2775310020738014
[06.32] Infcrnal Shaco (Diana) is on the way,630,0.6574246834246409
"[06,37] PgA lenoxBlack (Lissaridra) signals that enemies are missing",630,0.666689063390038
[06.45] Infernal Shaco (Diana): R Ready,630,0.8925501985249238
65 60,630,0.9983441303936831
49 38,630,0.8459208408929139
0.81 5*,630,0.7849181297275616
[06.08] StormX7 (Vayne): 709 towards Level 5,660,0.5379573318106708
[06:|9] Irfernal Shaca $HECO (Diana); why bad?,660,0.6710324144815482
[06;} Infernal Shaco (Diana) on the way,660,0.7147398890591182
[06.32 Infernal Shaco (Diana) on the way,660,0.8437611861052025
[06.37 PgA leroxBlack (Lissandra} signals that enemies are missing,660,0.6024206724506906
"[06,45] Infcrnal Shaco (Diara): R - Ready",660,0.5628623804950538
[06.47 Irfcrnal Shaco (Diara) on the way,660,0.6308552483166291
[06.57] PzA lenoxBlack (Lissandra} signals that enemies are missing,660,0.575785715546521
[06.47] Inferrial Shaco (Diana) on the way,690,0.8035181581240041
[06.57] PgA lenoxBlack (Lissandra) signals that cnemics are missing,690,0.8699993670243497
"[07,0/] Infernal Shaco $HECO (Diara );",690,0.367271718660044
[07.0/] PzA lenoxBlack (Lissandra) signals that enemies are missing,690,0.5939337895117304
[07.04] PgA lenoxBlack (Lissandra): VI TOP,690,0.47222120476617985
"[07,05 PgA lenoxBlack (Lissandra) signals that cnemies are missing",690,0.7160454035087662
[07:12 Infernal Shaco (Diana) has -argetedthe Quucr Turree,690,0.5905569667111604
[07:13] OMGBulbash (Fiora): Js,690,0.8756253246732209
0.81 4/5%,690,0.40586481983950246
[07.0/] PgA lenoxBlack (Lissandra} signals that enemies are missing,720,0.5707203035258431
"[07,04] PgA lenoxBlack (Lissandra); VI TOP",720,0.7850890800203812
"[07,05] PgA leroxBlack (Lissandra) signals that enemies are mnissing",720,0.5983283717526556
[07:42] Infernal Shaco (Diana) has cargeted the Outer Turrez,720,0.3672321328911058
[07:13] OMGBulbash (Fiora}: W 3s,720,0.6159249601579131
[07;18] PgA lenoxBlack (Lissandra}; Oriarna Igrite,720,0.3498191587855153
[07;19] PgA lenoxBlack (Lissandra}; Oriariha Flash,720,0.4593176676962586
[07.25] PzA lenoxBlack (Lissandra} requests aid at the Outer Turrer,720,0.7234338652534166
